Name,Address,Mobile,Location,ThumbImage,DetailImage,ThumbDescription,DetailDescription,IsHot,Category Name,Lang,StartDate,EndDate,City,Country,IsActive
Siêu Thị Điện Máy Nguyễn Kim ,"63-65-67 Trần Hưng Đạo,P. Cầu Ông Lãnh,Hồ Chí Minh,Việt Nam",+84 8 3821 1211,"10.769162, 106.696422",/Upload/2016/3/NguyenKim.jpg,/Upload/2016/3/544-NguyenKim.jpg,KHUYẾN MÃI GIẢM GIÁ HÀNG CÔNG NGHỆ TỪ 11/03/2016 ĐẾN 31/03/2016,KHUYẾN MÃI GIẢM GIÁ HÀNG CÔNG NGHỆ TỪ 11/03/2016 ĐẾN 31/03/2016,1,Điện Máy,vi,2016-09-02 00:00:00.000,2016-09-11 00:00:00.000,Ha Noi,Vietnam,1
Siêu Thị Điện Máy Pico,"35 Hai Bà Trưng,Trang Tien ward,Hoàn Kiếm,Hà Nội, Việt Nam",0904.881169,"21.024784, 105.852687",/Upload/2016/3/Pico.jpg,/Upload/2016/3/663-Pico.jpg,Hành Động Vì Quyền Người Tiêu Dùng Pico triển khai hàng loạt các chương trình ưu đãi khuyến mại lớn dành cho tất cả khách hàng của Pico.,"Hành Động Vì Quyền Người Tiêu Dùng Pico triển khai hàng loạt các chương trình ưu đãi khuyến mại lớn dành cho tất cả khách hàng của Pico. Cụ thể Pico sẽ nhận bảo dưỡng miễn phí lên tới 2000 điều hòa được đăng ký từ 18/03-10/04/2016. Cơ hội nhận được tiền mặt trị giá 500 nghìn trong vòng quay may mắn được tổ chức khi khách hàng mua tivi và dàn âm thanh, kèm theo hàng loạt các dòng tivi được giảm giá mạnh nhất hiện nay. Khách hàng còn nhận được 2 triệu đồng tiền mặt nếu mua ngay trong giờ vàng. Hàng loạt các dòng điều hòa công nghệ mới được giảm giá và 150 khách hàng đầu tiên sẽ nhận 1 triệu tiền mặt khi mua điều hòa, tủ lạnh, máy giặt lồng ngang.Bên cạnh đó, ưu đãi dành tặng 200 nghìn cho khách hàng sở hữu thẻ thành viên của Pico với các đơn hàng gia dụng cũng như sắm được hàng trăm nghìn sản phẩm gia dụng giá rẻ. Với ngành di động, tặng 1000 chiếc",0,Điện Máy,vi,2016-03-11 00:00:00.000,2016-03-18 00:00:00.000,Ha Noi,Vietnam,1
Thế Giới Di Động,"22F Trần Duy Hưng,Trung Hoà,Cầu Giấy,Hà Nội, Việt Nam",NULL,"21.015114, 105.803981",/Upload/2016/3/TGDD.jpg,/Upload/2016/3/888-TGDD.jpg,"Chương trình ""Cơ hội nhận quà khi mua OPPO F1 tại THẾ GIỚI DI ĐỘNG"" diễn ra từ ngày 08/03/2016 - 23/03/2016 trên website thegioididong.com, với tổng giải thưởng lên đến 170 triệu đồng.","hương trình ""Cơ hội nhận quà khi mua OPPO F1 tại THẾ GIỚI DI ĐỘNG"" diễn ra từ ngày 08/03/2016 - 23/03/2016 trên website thegioididong.com, với tổng giải thưởng lên đến 170 triệu đồng.

Tính đến thời điểm hiện tại có đến 10 suất quà tặng là Phiếu mua hàng (PMH) đã bị huỷ vì lý do đã quá thời gian khách trúng thưởng không đến nhận, hoặc liên hệ khách trúng thưởng không được. Nên THẾ GIỚI DI ĐỘNG quyết định trao 10 PMH này cho 10 khách hàng may mắn tiếp theo bằng cách:

- Lấy 6 số cuối điện thoại của tất cả các khách hàng mua OPPO F1 trong thời gian từ 8h ngày 10/03/2016 - 16h ngày 23/03/2016 (trừ các khách hàng đã có tên trong danh sách trúng giải trước đó), so sánh với kết quả xổ số (KQXS), giải đặc biệt đài Đồng Tháp ngày 28/03/2016, chọn ra người có kết quả TRÙNG hoặc NHỎ HƠN gần nhất với KQXS để trao giải, theo thứ tự từ giải đặc biệt (2 giải) đến giải nhì (8 giải).",1,Điện Máy,vi,2016-03-08 00:00:00.000,2016-03-23 00:00:00.000,Ha Noi,Vietnam,1
Big C Thăng Long Ha Noi,"212 Trần Duy Hưng, Trung Hoà, Cầu Giấy, Hà Nội, Việt Nam",NULL,"21.006982, 105.792956",NULL,NULL,"Với sự nỗ lực không ngừng của tập thể hơn 8.000 thành viên, siêu thị Big C tự hào giới thiệu đến người tiêu dùng trên toàn quốc những không gian mua sắm hiện đại, thoáng mát, thoải mái với chủng loại hàng hóa đa dạng, phong phú, chất lượng kiểm soát và giá cả hợp lý, đi cùng với những dịch vụ khách hàng thật hiệu quả. Bên cạnh đó, tất cả các siêu thị Big C trên toàn quốc đều cung cấp những trải nghiệm mua sắm với nhiều dịch vụ tiện ích cho Khách hàng","Hệ thống siêu thị Big C hoạt động kinh doanh theo mô hình “Trung tâm thương mại” hay “Đại siêu thị” là hình thức kinh doanh bán lẻ hiện đại đang được triển khai tại nhiều nước trên thế giới. Tháng 04/2016, Hệ thống siêu thị Big C đã được Tập đoàn Central Group Thai Lan tiếp quản thành công và hợp pháp theo một thỏa thuận chuyển nhượng quốc tế với Tập đoàn Casino của Pháp. Tập đoàn Central Group là Tập đoàn bán lẻ hàng đầu trong khu vực được thành lập vào năm 1947 từ một cửa hàng nhỏ tại Bangkok do gia đình ông Tiang Chirathivat điều hành. Trải qua 70 năm phát triển, Tập đoàn hiện nay vẫn thuộc sở hữu của gia đình Chirathivat. Central Group bắt đầu đầu tư vào Việt Nam từ năm 2011 từ việc hợp tác với các đối tác nội địa như Nguyễn Kim, Lan Chi Mart và gần đây nhất là Zalora và Big C ",1,Siêu Thị,vi,2016-12-05 00:00:00.000,2016-12-08 00:00:00.000,NULL,NULL,1
